Open,Close,High,Low,Volume,Date
1878.95,1878.95,1878.95,1878.95,,2020-10-31
1867.95,1878.95,1889.3,1865.09,,2020-10-30
1877.45,1866.65,1885.05,1859.92,,2020-10-29
1905.55,1878.2,1910.55,1870.3,,2020-10-28
1902.55,1904.8,1911.05,1898.1,,2020-10-27
1895.35,1902.6,1908.1,1895.1,,2020-10-26
1907,1896.65,1907,1895.85,,2020-10-25
1905.2,1901.55,1913.95,1895,,2020-10-23
1924.9,1904.15,1925.9,1895.15,,2020-10-22
1910.25,1924.6,1931.2,1908.65,,2020-10-21
1903.75,1906.65,1914.1,1895.1,,2020-10-20
1900.25,1904.33,1917.75,1897.15,,2020-10-19
1899.4,1899.4,1899.4,1899.4,,2020-10-18
1908.9,1899.4,1913.5,1897.9,,2020-10-16
1901.95,1908.1,1908.85,1889.85,,2020-10-15
1893.4,1900.33,1912.55,1883.3,,2020-10-14
1924.05,1890.35,1925.35,1887.39,,2020-10-13
1927.2,1922.94,1932.95,1918.6,,2020-10-12
1930.43,1930.43,1930.43,1930.43,,2020-10-11
1930.43,1930.43,1930.43,1930.43,,2020-10-10
1894.35,1930.43,1930.5,1893.52,,2020-10-09
1887.7,1893.95,1899.7,1882.3,,2020-10-08
1877.35,1887.3,1898,1873.35,,2020-10-07
1912.15,1878.3,1920.5,1875.05,,2020-10-06
1903.7,1913.45,1918.1,1887.2,,2020-10-05
1899.7,1899.7,1899.7,1899.7,,2020-10-04
1905.1,1899.7,1916.8,1889.79,,2020-10-02
1887.5,1906,1911.3,1884.89,,2020-10-01
1897.75,1885.95,1901.82,1881.59,,2020-09-30
1881.05,1897.81,1898.85,1876.08,,2020-09-29
1864.7,1880.98,1883.05,1850.2,,2020-09-28
1861.05,1855.5,1861.05,1855.5,,2020-09-27
1861.05,1861.05,1861.05,1861.05,,2020-09-26
1869.85,1861.05,1874.75,1853.3,,2020-09-25
1864.25,1868.69,1876.78,1848.99,,2020-09-24
1901.15,1863.4,1904.9,1856.11,,2020-09-23
1914.58,1900.2,1919.59,1895.1,,2020-09-22
1947.75,1912.35,1955.6,1884.09,,2020-09-21
0,1962,1962,1962,,2020-09-20
0,1962,1962,1962,,2020-09-19
1944.25,1951.33,1960,1944.25,,2020-09-18
1959.55,1944.98,1960.95,1932.9,,2020-09-17
1954.7,1959.75,1973.03,1950.2,,2020-09-16
1957.5,1953.88,1972,1948.6,,2020-09-15
1937.8,1956.7,1962.14,1937.55,,2020-09-14
1940.4,1940.4,1940.4,1940.4,,2020-09-13
1940.4,1940.4,1940.4,1940.4,,2020-09-12
1946.54,1940.4,1954.35,1938.2,,2020-09-11
1946.35,1946.35,1966.2,1941.65,,2020-09-10
1932.51,1946.5,1950.6,1920.29,,2020-09-09
1929.8,1931.35,1940.5,1906.7,,2020-09-08
1932.8,1928.55,1941.25,1925.41,,2020-09-07
1933.83,1933.83,1933.83,1933.83,,2020-09-06
1930.3,1933.83,1941.45,1916.8,,2020-09-04
1942.41,1930.3,1951,1922.9,,2020-09-03
1969.22,1942.89,1973.25,1933.5,,2020-09-02
1968.65,1970.45,1992.15,1964.19,,2020-09-01
1969.45,1967.9,1976.05,1954.7,,2020-08-31
1964.95,1964.95,1964.95,1964.95,,2020-08-29
1930,1964.95,1973.1,1923.8,,2020-08-28
1952.15,1929.5,1976.5,1912.2,,2020-08-27
1928.15,1953.3,1954.3,1903.35,,2020-08-26
1930.25,1928.4,1937.5,1914.85,,2020-08-25
1935.75,1927.98,1961.4,1924.25,,2020-08-24
1940.22,1947.5,1947.5,1940.22,,2020-08-23
1948.55,1940.23,1955.55,1912.65,,2020-08-21
1931.3,1947.05,1954.91,1925.15,,2020-08-20
2004.9,1930.48,2006.55,1924.75,,2020-08-19
1983.35,2000.62,2014.7,1977.15,,2020-08-18
1944.75,1985.07,1990.5,1930.35,,2020-08-17
1945.35,1947.04,1948.35,1945.35,,2020-08-16
1945.35,1945.35,1945.35,1945.35,,2020-08-15
1951.9,1945.35,1962.65,1934.05,,2020-08-14
1919.1,1954.03,1965.75,1912.7,,2020-08-13
1917.8,1914.39,1948.4,1866.4,,2020-08-12
2027.25,1912.43,2029.75,1902.65,,2020-08-11
2028.25,2027.08,2049.7,2020.2,,2020-08-10
2035.99,2035.99,2035.99,2035.99,,2020-08-09
2035.99,2035.99,2035.99,2035.99,,2020-08-08
2067.3,2035.99,2072.9,2016.1,,2020-08-07
