Date,0
2015-08-07,
2015-08-08,-0.29291396105198975
2015-08-09,-0.30263396228632333
2015-08-10,-0.29800338110144153
2015-08-11,-0.16157231224193047
2015-08-12,-0.1382672421365495
2015-08-13,-0.004340354988996764
2015-08-14,0.010184806790018541
2015-08-15,-0.029077037493451252
2015-08-16,-0.05417781157108803
2015-08-17,-0.12526087203917902
2015-08-18,-0.24414095211471099
2015-08-19,-0.18510364927977785
2015-08-20,-0.12031613717421463
2015-08-21,-0.14097783359634208
2015-08-22,-0.15127684883107573
2015-08-23,-0.16887613462902284
2015-08-24,-0.24780905945918819
2015-08-25,-0.257935239458985
2015-08-26,-0.24814542269902273
2015-08-27,-0.2588207275496156
2015-08-28,-0.23866496133531123
2015-08-29,-0.24491856732259487
2015-08-30,-0.2193948921090334
2015-08-31,-0.2108140425300674
2015-09-01,-0.21635261588334476
2015-09-02,-0.22827706287538996
2015-09-03,-0.2515026210289819
2015-09-04,-0.23977042198990117
2015-09-05,-0.20127862064466284
2015-09-06,-0.19264333675088274
2015-09-07,-0.20304080749741638
2015-09-08,-0.1996464342961679
2015-09-09,-0.22412431555186274
2015-09-10,-0.2302715108070078
2015-09-11,-0.26804414333315896
2015-09-12,-0.2700425660144318
2015-09-13,-0.299814940443642
2015-09-14,-0.3123578743036012
2015-09-15,-0.2964181210490878
2015-09-16,-0.30857888739618655
2015-09-17,-0.30772399629583325
2015-09-18,-0.30595244421223433
2015-09-19,-0.306168323782959
2015-09-20,-0.29394147272953985
2015-09-21,-0.3069189556541505
2015-09-22,-0.30390413004183414
2015-09-23,-0.3046951526377383
2015-09-24,-0.3159113665044555
2015-09-25,-0.3398914984195195
2015-09-26,-0.32623251887644666
2015-09-27,-0.3475820682998708
2015-09-28,-0.3679629322799026
2015-09-29,-0.3488882640260893
2015-09-30,-0.3211148821116848
2015-10-01,-0.3351154199506923
2015-10-02,-0.3397359747454768
2015-10-03,-0.33290306334585806
2015-10-04,-0.3405764120373256
2015-10-05,-0.35156590733652293
2015-10-06,-0.3295814224194892
2015-10-07,-0.3527666145310402
2015-10-08,-0.3486081272515049
2015-10-09,-0.3339390340959546
2015-10-10,-0.34093158078803887
2015-10-11,-0.33379153705675846
2015-10-12,-0.33903516852835247
2015-10-13,-0.33874223887296406
2015-10-14,-0.3697346490161856
2015-10-15,-0.3547854705474829
2015-10-16,-0.35710134629565404
2015-10-17,-0.3489685392349262
2015-10-18,-0.3713044777779344
2015-10-19,-0.3797469681753771
2015-10-20,-0.3948992378382735
2015-10-21,-0.3926276243017639
2015-10-22,-0.32965383305430995
2015-10-23,-0.33889894903489504
2015-10-24,-0.3258422877985995
2015-10-25,-0.3057827834424719
2015-10-26,-0.2582423236937612
2015-10-27,-0.204906903539248
2015-10-28,-0.15412035902989796
2015-10-29,-0.02617743231287961
2015-10-30,-0.03205240047536173
2015-10-31,-0.10472648428047493
2015-11-01,-0.036601574639472445
2015-11-02,-0.004680831494349946
2015-11-03,0.07585617395289379
2015-11-04,0.014548961926662551
2015-11-05,-0.02892068757205757
2015-11-06,-0.06168859466596355
2015-11-07,-0.0465163382799908
2015-11-08,-0.03910245829733283
2015-11-09,-0.04408422452697325
2015-11-10,-0.12759233541639647
2015-11-11,-0.2077752555953084
2015-11-12,-0.12264529747616715
2015-11-13,-0.1258191159145713
2015-11-14,-0.13690847629185288
2015-11-15,-0.15383598985073843
2015-11-16,-0.12610404756904647
2015-11-17,-0.0963566902045383
2015-11-18,-0.10274022939005678
2015-11-19,-0.12653603572392902
2015-11-20,-0.14122397846437695
2015-11-21,-0.11782312007087858
2015-11-22,-0.12367499938241633
2015-11-23,-0.13255331151103966
2015-11-24,-0.1510276439160665
2015-11-25,-0.13379015709547926
2015-11-26,-0.08256916975292583
2015-11-27,-0.08605704612629916
2015-11-28,-0.07462766802885112
2015-11-29,-0.062228444469729416
2015-11-30,-0.06324145149416316
2015-12-01,-0.09098148379970838
2015-12-02,-0.12047590450070655
2015-12-03,-0.11910434936537662
2015-12-04,-0.10864295812644087
2015-12-05,-0.06533243264021382
2015-12-06,-0.0796724261263485
2015-12-07,-0.06804658473116443
2015-12-08,-0.04460066888860814
2015-12-09,-0.05621547458126497
2015-12-10,-0.039068718258621904
2015-12-11,0.03818145948339047
2015-12-12,0.02202382271770076
2015-12-13,0.01457923782285575
2015-12-14,0.03581977222068411
2015-12-15,0.08053638315862033
2015-12-16,0.05167018966156922
2015-12-17,0.0385911010282709
2015-12-18,0.038311268856211944
2015-12-19,0.029463028604247432
2015-12-20,-0.003711104671788812
2015-12-21,-0.015162339318431806
2015-12-22,-0.03375344532977764
2015-12-23,-0.01680309540224123
2015-12-24,0.0005383552108870759
2015-12-25,0.0020096021770588113
2015-12-26,-0.05063039596265839
2015-12-27,-0.040721165323536535
2015-12-28,-0.046570968260258305
2015-12-29,-0.024827087032370132
2015-12-30,-0.01893789571328186
2015-12-31,-0.006184390985961685
2016-01-01,0.004595291034050986
2016-01-02,-0.0005965158923935121
2016-01-03,0.00731780707620544
2016-01-04,0.004890523626819077
2016-01-05,4.05826421905342e-05
2016-01-06,-0.003470422617700697
2016-01-07,0.03032469783758862
2016-01-08,0.039679847674162216
2016-01-09,0.03459179554013536
2016-01-10,0.03690721870096403
2016-01-11,0.060762711895281596
2016-01-12,0.07090723673581323
2016-01-13,0.061440364756253585
2016-01-14,0.0789767403703292
2016-01-15,-0.019286489630978565
2016-01-16,0.014693021638051418
2016-01-17,0.03317339407275188
2016-01-18,0.0658011515300545
2016-01-19,0.04200101616607599
