Open,Close,High,Low,Volume,Date
24.7375,24.7375,24.7375,24.7375,,10/31/20
23.28175,24.7375,24.7375,23.17275,,10/30/20
23.39875,23.2475,23.57075,22.5975,,10/29/20
24.29875,23.40375,24.5675,23.04,,10/28/20
24.30125,24.26625,24.60125,24.2275,,10/27/20
24.30125,24.3,24.56125,24.12625,,10/26/20
25.495,24.40875,25.495,24.405,,10/25/20
24.72875,25.495,25.495,24.43,,10/23/20
25.04625,24.7245,25.08625,24.38875,,10/22/20
24.74,25.045,25.27,24.68875,,10/21/20
24.37625,24.635,24.92375,24.33875,,10/20/20
24.21125,24.3975,24.94975,24.12375,,10/19/20
24.7875,24.7875,24.7875,24.7875,,10/18/20
24.33125,23.7525,24.5075,23.7525,,10/16/20
24.27375,24.27975,24.3075,23.615,,10/15/20
24.2175,24.7875,24.7875,23.90675,,10/14/20
25.1575,24.15375,25.19875,23.94,,10/13/20
25.08325,25.105,25.57,24.8425,,10/12/20
24.2125,24.2125,24.2125,24.2125,,10/11/20
23.8725,24.2125,25.17875,23.8325,,10/09/20
23.81375,23.84,24.1925,23.66825,,10/08/20
23.12625,23.8075,23.9575,23.08375,,10/07/20
24.3825,23.065,24.48625,22.92,,10/06/20
23.8575,24.4875,24.6925,23.68875,,10/05/20
23.725,23.725,23.725,23.725,,10/04/20
23.78375,23.725,24.1825,23.48575,,10/02/20
23.32625,24.0475,24.15325,23.24125,,10/01/20
24.26125,23.2375,24.31125,23.1575,,09/30/20
23.7025,24.20225,24.395,23.3975,,09/29/20
23.0525,22.9975,23.72075,22.555,,09/28/20
23.2375,23.2375,23.2375,23.2375,,09/27/20
23.1875,23.2375,23.29125,22.48875,,09/25/20
22.87875,23.17725,23.33175,21.66825,,09/24/20
24.4225,22.7775,24.4675,22.60925,,09/23/20
24.83175,24.38875,25.19225,23.8685,,09/22/20
26.70625,24.895,26.9575,23.83625,,09/21/20
27.2875,27.2875,27.2875,27.2875,,09/20/20
27.01875,27.2875,27.2875,26.70375,,09/18/20
27.175,27.0495,27.2075,26.3275,,09/17/20
27.16125,27.4875,27.4875,26.9,,09/16/20
27.15,27.5475,27.61675,27.03325,,09/15/20
26.6925,27.1175,27.29475,26.685,,09/14/20
26.75075,26.75075,26.75075,26.75075,,09/12/20
26.91775,26.75075,27.0285,26.59,,09/11/20
26.98875,26.8825,27.4775,26.69875,,09/10/20
26.6325,26.97175,27.12575,26.41925,,09/09/20
26.89875,26.665,27.1,25.855,,09/08/20
26.9,26.55925,27.1475,26.525,,09/07/20
26.9925,26.9925,26.9925,26.9925,,09/06/20
26.64625,26.9925,27.00075,26.34,,09/04/20
27.4275,26.6025,27.7025,26.49375,,09/03/20
28.05225,27.4475,28.31225,27.07875,,09/02/20
28.18075,28.11,28.8925,27.718,,09/01/20
27.6375,28.1375,28.35325,27.61825,,08/31/20
27.495,27.495,27.495,27.495,,08/30/20
27.495,27.495,27.495,27.495,,08/29/20
27.02625,27.495,27.7075,26.8425,,08/28/20
27.44325,27.01525,27.8925,26.53575,,08/27/20
26.54075,27.50975,27.50975,26.13375,,08/26/20
26.6325,26.535,26.79,26.1075,,08/25/20
26.6925,26.3125,27.2325,26.275,,08/24/20
25.9125,25.93725,25.93725,25.9125,,08/23/20
27.28625,25.9125,27.53625,25.9125,,08/21/20
26.78375,26.835,27.50625,26.6075,,08/20/20
27.80125,26.7125,28.00125,26.5025,,08/19/20
27.44125,28.8925,28.8925,27.12875,,08/18/20
26.59,27.4975,27.56375,25.86875,,08/17/20
26.4475,26.4475,26.4475,26.4475,,08/16/20
26.4475,26.4475,26.4475,26.4475,,08/15/20
